                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.3793,                0.52213,                  2.803,                 0.8503,                0.30396,                0.25576,                0.12418,                0.10403,                 0.3041,                0.25631,                0.12456,                0.10175,                0.59336,                0.81832,                 2.3427,                 1.0276,               0.070063,              0.0033263,              0.0033263
                      2,                 0.3821,                0.52215,                 1.8628,                0.84869,                0.40308,                0.32209,                0.28481,                0.23105,                 0.4031,                0.32197,                 0.2839,                  0.225,                0.60188,                0.83414,                 1.9017,                 1.0425,               0.040041,              0.0066377,              0.0066377
                      3,                0.39652,                0.53692,                   1.39,                0.85174,                0.50525,                0.48656,                0.47818,                0.38747,                0.50506,                0.48647,                0.47852,                0.38533,                0.61076,                0.83574,                 1.5426,                   1.04,              0.0099969,              0.0099271,              0.0099271
                      4,                0.41347,                0.54648,                  1.172,                0.85706,                0.60923,                0.55358,                0.58493,                0.47495,                0.60968,                0.55403,                0.58533,                 0.4734,                0.61254,                0.84359,                 1.3308,                 1.0536,               0.009901,               0.009901,               0.009901
                      5,                0.41988,                0.56423,                  1.053,                0.86202,                 0.6009,                0.60509,                0.63487,                0.51947,                0.60037,                0.60576,                0.63392,                0.51819,                0.61239,                0.85299,                 1.2448,                 1.0497,               0.009901,               0.009901,               0.009901
                      6,                0.42359,                0.56363,                0.97043,                0.86775,                0.71082,                0.59444,                0.67005,                0.54178,                0.71446,                0.59673,                0.67313,                0.54241,                0.61938,                 0.8551,                 1.1428,                 1.0756,               0.009868,               0.009868,               0.009868
                      7,                0.42126,                0.56004,                0.91169,                0.86666,                0.68163,                0.63121,                0.68981,                0.56378,                0.68241,                0.63079,                0.68982,                0.56166,                0.61545,                0.84377,                 1.1086,                 1.0563,               0.009835,               0.009835,               0.009835
                      8,                 0.4237,                0.56372,                0.88401,                0.86828,                0.64694,                0.60289,                0.65345,                0.53604,                0.64773,                0.60427,                 0.6548,                0.53054,                 0.6235,                0.85803,                  1.121,                 1.0599,               0.009802,               0.009802,               0.009802
                      9,                0.42364,                0.56429,                0.83445,                0.86076,                0.69249,                0.65245,                0.71026,                0.57981,                0.69188,                0.65173,                 0.7081,                0.57725,                0.62289,                0.85623,                 1.0396,                 1.0633,               0.009769,               0.009769,               0.009769
                     10,                0.42586,                0.56793,                0.80927,                0.86953,                0.71729,                0.67463,                0.72643,                0.59298,                 0.7173,                0.67462,                0.72584,                0.59339,                0.62112,                0.84994,                 1.0098,                 1.0645,               0.009736,               0.009736,               0.009736
                     11,                0.42703,                0.56653,                0.77367,                0.86853,                0.71089,                0.67279,                0.73049,                0.59547,                0.71207,                0.67463,                0.73089,                0.59959,                0.61594,                0.84527,                0.97664,                 1.0697,               0.009703,               0.009703,               0.009703
                     12,                0.41963,                0.56097,                0.75209,                0.86417,                 0.7361,                0.68207,                0.73946,                0.60102,                0.73794,                0.68147,                0.73957,                 0.6022,                 0.6204,                0.87417,                0.96374,                 1.0724,                0.00967,                0.00967,                0.00967
                     13,                 0.4208,                0.56498,                0.74205,                0.86902,                0.75257,                0.69235,                0.74301,                0.61384,                0.75389,                0.69574,                0.74946,                 0.6151,                0.61161,                0.85469,                0.93707,                 1.0587,               0.009637,               0.009637,               0.009637
                     14,                0.41551,                 0.5613,                0.73889,                0.86541,                0.76831,                0.68638,                0.75747,                0.61764,                0.76817,                0.68615,                0.75722,                0.62126,                0.62276,                0.88239,                0.94155,                 1.0905,               0.009604,               0.009604,               0.009604
                     15,                0.41589,                0.56828,                0.72617,                0.86376,                0.76881,                0.68709,                 0.7661,                0.62726,                0.76909,                 0.6871,                0.76496,                0.62709,                0.61057,                0.86587,                0.92394,                 1.0658,               0.009571,               0.009571,               0.009571
                     16,                0.41861,                0.55903,                0.70552,                 0.8632,                0.76391,                0.72972,                0.77016,                0.63156,                0.76708,                0.73152,                0.77225,                0.63399,                0.60963,                0.84812,                0.87746,                 1.0624,               0.009538,               0.009538,               0.009538
                     17,                0.41515,                0.56103,                0.69037,                0.86219,                0.75144,                0.70869,                0.76882,                0.63215,                0.75279,                0.70909,                0.77057,                 0.6311,                0.60136,                0.84006,                0.84006,                 1.0597,               0.009505,               0.009505,               0.009505
                     18,                0.41717,                0.55383,                0.67248,                0.85972,                0.81306,                0.69133,                0.77366,                0.63772,                0.81582,                0.69454,                0.77624,                0.63848,                0.61448,                0.86448,                0.84467,                 1.0612,               0.009472,               0.009472,               0.009472
                     19,                0.41345,                0.56926,                0.65945,                0.86267,                0.80979,                0.69115,                0.77359,                0.63843,                0.81267,                0.69307,                 0.7762,                0.63879,                0.60932,                0.86492,                 0.8643,                 1.0565,               0.009439,               0.009439,               0.009439
                     20,                0.41212,                0.55274,                0.67143,                0.86398,                0.77453,                0.72781,                0.77961,                0.64554,                0.77417,                0.73005,                  0.783,                0.64658,                0.61106,                0.86792,                0.85303,                 1.0644,               0.009406,               0.009406,               0.009406
                     21,                0.40806,                0.54717,                0.63791,                 0.8579,                 0.7823,                0.70932,                0.78046,                0.64762,                0.79151,                0.69953,                0.78371,                0.64626,                0.60572,                0.85533,                0.84719,                  1.057,               0.009373,               0.009373,               0.009373
                     22,                0.40341,                0.54737,                 0.6268,                0.85923,                0.78309,                0.71997,                 0.7802,                 0.6519,                  0.783,                0.71994,                0.78097,                0.64772,                 0.5963,                0.84635,                0.85033,                  1.058,                0.00934,                0.00934,                0.00934
                     23,                0.40486,                0.55111,                0.61961,                0.85969,                 0.7988,                0.70179,                0.78543,                0.65356,                0.79852,                0.70156,                0.78427,                0.64812,                0.59695,                0.85762,                0.80882,                 1.0471,               0.009307,               0.009307,               0.009307
                     24,                 0.4051,                0.55481,                0.61846,                0.86119,                0.78337,                0.72251,                0.78425,                0.64342,                0.79001,                0.72403,                0.78813,                0.64512,                0.60942,                0.84656,                0.82375,                 1.0542,               0.009274,               0.009274,               0.009274
                     25,                0.41139,                0.56556,                0.62367,                0.86089,                0.78046,                0.71587,                0.77075,                0.63852,                 0.7842,                0.71823,                0.77466,                0.63562,                0.60151,                0.86871,                0.84207,                  1.053,               0.009241,               0.009241,               0.009241
                     26,                0.40772,                0.55271,                0.61602,                0.85785,                0.77278,                0.73336,                0.78437,                 0.6493,                0.77219,                0.73279,                0.78445,                 0.6475,                0.61379,                0.86529,                 0.8481,                 1.0664,               0.009208,               0.009208,               0.009208
                     27,                0.40903,                0.56002,                0.60318,                0.86153,                 0.7775,                0.74452,                0.78556,                0.65439,                0.77666,                0.74396,                0.78505,                0.64858,                0.60173,                0.86433,                0.84774,                 1.0656,               0.009175,               0.009175,               0.009175
                     28,                0.40379,                0.54988,                0.59265,                0.85916,                0.77099,                0.74605,                0.79169,                0.65926,                0.77114,                0.74627,                0.79291,                0.65703,                0.60145,                0.85322,                0.80733,                 1.0658,               0.009142,               0.009142,               0.009142
                     29,                0.40868,                0.55467,                0.60438,                 0.8584,                0.78987,                0.73065,                0.78917,                0.65358,                0.78559,                0.73653,                0.79374,                0.65407,                0.59969,                0.87423,                0.78451,                 1.0688,               0.009109,               0.009109,               0.009109
                     30,                0.40142,                0.54885,                0.57346,                0.85749,                0.83922,                0.68771,                0.78451,                0.64729,                 0.8389,                0.68744,                0.78357,                0.64881,                0.60988,                 0.8444,                0.81269,                 1.0676,               0.009076,               0.009076,               0.009076
                     31,                0.40272,                0.54761,                0.57616,                 0.8589,                0.82132,                0.73069,                0.80005,                0.66666,                0.82389,                 0.7329,                0.80194,                0.66339,                0.60293,                0.86988,                0.79083,                 1.0713,               0.009043,               0.009043,               0.009043
                     32,                0.40744,                0.55518,                0.58639,                0.85698,                0.77456,                 0.7526,                0.80354,                0.66959,                0.78936,                0.73762,                 0.8009,                0.66421,                0.60058,                0.84774,                 0.7983,                   1.07,                0.00901,                0.00901,                0.00901
                     33,                 0.3993,                0.53642,                 0.5565,                0.85742,                0.84283,                0.71453,                0.81355,                0.67815,                 0.8402,                0.71454,                0.81374,                0.68092,                0.60632,                0.86991,                0.77242,                 1.0786,               0.008977,               0.008977,               0.008977
                     34,                0.39838,                0.55475,                0.56406,                0.85593,                0.77708,                 0.7644,                0.80366,                0.67277,                0.77773,                0.76499,                0.80599,                0.66573,                 0.5974,                0.85169,                0.78072,                 1.0595,               0.008944,               0.008944,               0.008944
                     35,                0.40331,                 0.5466,                0.54862,                0.85925,                0.80606,                0.73172,                 0.8015,                0.66759,                0.80709,                0.73498,                0.80504,                 0.6698,                0.61162,                0.85306,                0.79098,                 1.0725,               0.008911,               0.008911,               0.008911
                     36,                  0.397,                0.54618,                0.54997,                0.85493,                0.78941,                0.74268,                0.79973,                0.67225,                0.79243,                0.74566,                0.80223,                0.66763,                0.59663,                0.86168,                0.76687,                 1.0521,               0.008878,               0.008878,               0.008878
                     37,                0.39094,                0.54219,                0.53898,                0.85337,                0.77525,                0.76112,                0.80368,                0.67099,                0.77834,                0.76304,                0.80723,                0.66836,                0.59882,                0.84986,                0.76361,                 1.0621,               0.008845,               0.008845,               0.008845
                     38,                0.39344,                0.53537,                0.53869,                0.85273,                0.79552,                0.74825,                0.80188,                0.66567,                 0.7982,                0.74982,                0.80408,                0.66773,                 0.6038,                0.85724,                0.79387,                 1.0556,               0.008812,               0.008812,               0.008812
                     39,                0.39406,                0.54117,                 0.5436,                 0.8542,                0.77644,                 0.7293,                0.79309,                0.66341,                0.77907,                0.73114,                0.79567,                0.66304,                0.59896,                0.84035,                0.79937,                 1.0621,               0.008779,               0.008779,               0.008779
                     40,                0.38987,                 0.5376,                0.52894,                0.85344,                0.80489,                0.73383,                0.79927,                0.66756,                0.80759,                0.73539,                0.80181,                0.66614,                0.59162,                0.86176,                0.79349,                 1.0497,               0.008746,               0.008746,               0.008746
                     41,                0.38896,                0.53814,                0.52772,                0.85261,                0.79979,                 0.7565,                0.80741,                0.67441,                0.80221,                0.75799,                0.80999,                0.67383,                0.59807,                0.86688,                0.75742,                 1.0637,               0.008713,               0.008713,               0.008713
                     42,                0.39754,                0.55231,                0.53346,                0.85793,                0.79349,                0.75673,                0.80955,                0.68167,                0.79401,                0.75637,                0.81031,                0.67513,                0.59922,                0.86281,                0.75122,                 1.0678,                0.00868,                0.00868,                0.00868
